State	Sum	Dem_EV	Rep_EV	Unalloc_EV	Clinton	Trump	Johnson	Other
Alabama	2123372	0	9	0	729547	1318255	44467	 31103
Alaska	318608	0	3	0	116454	163387	18725	 20042
Arizona	2604657	0	11	0	1161167	1252401	106327	 84762
Arkansas	1130635	0	6	0	380494	684872	29829	 35440
California	14237884	55	0	0	8753788	4483810	478500	 521786
Colorado	2780247	9	0	0	1338870	1202484	144121	 94772
Connecticut	1644920	7	0	0	897572	673215	48676	 25457
Delaware	443814	3	0	0	235603	185127	14757	 8327
District of Columbia	311268	3	0	0	282830	12723	4906	 10809
Florida	9501617	0	29	0	4504975	4617886	207043	 171713
Georgia	4141445	0	16	0	1877963	2089104	125306	 49072
Hawaii	428937	3	0	1	266891	128847	15954	 17245
Idaho	690433	0	4	0	189765	409055	28331	 63282
Illinois	5571950	20	0	0	3090729	2146015	209596	 125610
Indiana	2757828	0	11	0	1033126	1557286	133993	 33423
Iowa	1566031	0	6	0	653669	800983	59186	 52193
Kansas	1192627	0	6	0	427005	671018	55406	 39198
Kentucky	1924149	0	8	0	628854	1202971	53752	 38572
Louisiana	2029032	0	8	0	780154	1178638	37978	 32262
Maine	747927	3	1	0	357735	335593	38105	 16494
Maryland	2781446	10	0	0	1677928	943169	79605	 80744
Massachusetts	3325046	11	0	0	1995196	1090893	138018	 100939
Michigan	4822952	0	16	0	2268839	2279543	172136	 102434
Minnesota	2944813	10	0	0	1367716	1322951	112972	 141174
Mississippi	1211088	0	6	0	485131	700714	14435	 10808
Missouri	2827673	0	10	0	1071068	1594511	97359	 64735
Montana	501822	0	3	0	177709	279240	28037	 16836
Nebraska	844227	0	5	0	284494	495961	38946	 24826
Nevada	1125385	6	0	0	539260	512058	37384	 36683
New Hampshire	744296	4	0	0	348526	345790	30777	 19203
New Jersey	3906723	14	0	0	2148278	1601933	72477	 84035
New Mexico	798318	5	0	0	385234	319666	74541	 18877
New York	7707363	29	0	0	4547562	2814589	176296	 168916
North Carolina	4741564	0	15	0	2189316	2362631	130126	 59491
North Dakota	344360	0	3	0	93758	216794	21434	 12374
Ohio	5536528	0	18	0	2394164	2841005	174498	 126861
Oklahoma	1452992	0	7	0	420375	949136	83481	 0
Oregon	2001336	7	0	0	1002106	782403	94231	 122596
Pennsylvania	6163012	0	20	0	2926441	2970733	146715	 119123
Rhode Island	464144	4	0	0	252525	180543	14746	 16330
South Carolina	2103027	0	9	0	855373	1155389	49204	 43061
South Dakota	370093	0	3	0	117458	227721	20850	 4064
Tennessee	2508027	0	11	0	870695	1522925	70397	 44010
Texas	8969226	0	36	2	3877868	4685047	283492	 122819
Utah	1143601	0	6	0	310676	515231	39608	 278086
Vermont	315067	3	0	0	178573	95369	10078	 31047
Virginia	3982752	13	0	0	1981473	1769443	118274	 113562
Washington	3316424	8	0	4	1742718	1221747	160879	 191080
West Virginia	721231	0	5	0	188794	489371	23004	 20062
Wisconsin	2976150	0	10	0	1382536	1405284	106674	 81656
Wyoming	255849	0	3	0	55973	174419	13287	 12170
